date,Time_to_Maturity,last_value,spread_bps,spread_dec,hazard,s_tau,Q_fit_spline,NS_fit,piecewise_fit
2016-06-30,9.786301369863013,157.11,157.11,0.015711000000000003,0.026185000000000007,0.77394512845856,0.8040464980595134,0.804463733113919,0.77394512845856
2016-07-05,9.772602739726027,155.496,155.496,0.0155496,0.025916,0.7762607690931893,0.8040994740229382,0.804498514716361,0.7762607690931893
2016-07-06,9.76986301369863,143.224,143.224,0.014322399999999999,0.023870666666666665,0.7919847492274994,0.8041100804127459,0.8045054886072146,0.7919847492274994
2016-07-13,9.75068493150685,144.623,144.623,0.014462299999999999,0.02410383333333333,0.7905480147346725,0.8041844302588466,0.8045544706025519,0.7905480147346725
2016-07-14,9.747945205479452,124.213,124.213,0.0124213,0.020702166666666667,0.8172554323412811,0.8041950667429272,0.8045614916439076,0.8172554323412811
2016-07-15,9.745205479452055,128.094,128.094,0.012809399999999999,0.021349,0.8121661091841772,0.8042057070116129,0.8045685186077817,0.8121661091841772
2016-07-27,9.712328767123287,127.329,127.329,0.0127329,0.0212215,0.8137434090812304,0.8043336872964805,0.8046533064694802,0.8137434090812304
2016-08-01,9.698630136986301,127.613,127.613,0.0127613,0.021268833333333334,0.8136064163210807,0.8043871755877176,0.8046888893741944,0.8136064163210807
2016-08-04,9.69041095890411,125.475,125.475,0.0125475,0.0209125,0.8165634015582723,0.8044193150494757,0.8047103115323984,0.8165634015582723
2016-08-11,9.67123287671233,125.623,125.623,0.0125623,0.020937166666666666,0.8166961076220042,0.8044944436297923,0.8047605089266113,0.8166961076220042
2016-08-12,9.668493150684931,131.157,131.157,0.013115700000000001,0.021859500000000004,0.8094919696679231,0.804505191961624,0.8047677043490357,0.8094919696679231
2016-08-22,9.64109589041096,123.188,123.188,0.0123188,0.020531333333333332,0.8204153410977658,0.804612892594498,0.8048399957937794,0.8204153410977658
2016-08-29,9.621917808219179,128.363,128.363,0.0128363,0.021393833333333334,0.813955399755329,0.8046885200406844,0.8048909669993471,0.813955399755329
2016-09-06,9.6,124.013,124.013,0.0124013,0.020668833333333334,0.8200247141259716,0.8047751930992699,0.8049495934489244,0.8200247141259716
2016-09-07,9.597260273972603,123.886,123.886,0.0123886,0.02064766666666667,0.8202377587547386,0.8047860454890586,0.8049569499410475,0.8202377587547386
2016-09-08,9.594520547945205,116.917,116.917,0.0116917,0.019486166666666666,0.8294765610398509,0.8047969019543073,0.8049643127194187,0.8294765610398509
2016-09-12,9.583561643835617,117.101,117.101,0.0117101,0.019516833333333334,0.8294099162225158,0.8048403686798994,0.804993826832206,0.8294099162225158
2016-09-14,9.578082191780823,107.548,107.548,0.0107548,0.01792466666666667,0.8422453390871943,0.8048621266386649,0.8050086217841823,0.8422453390871943
2016-10-03,9.526027397260274,125.181,125.181,0.012518099999999999,0.0208635,0.8197578619768415,0.805069654314083,0.8051504453445617,0.8197578619768415
2016-10-06,9.517808219178082,123.044,123.044,0.0123044,0.020507333333333336,0.8226825581664764,0.8051025601331347,0.8051730507039032,0.8226825581664764
2016-10-07,9.515068493150684,120.752,120.752,0.0120752,0.020125333333333332,0.8257246412741814,0.8051135372076703,0.8051805987898412,0.8257246412741814
2016-10-11,9.504109589041096,120.401,120.401,0.0120401,0.020066833333333332,0.8263661001737637,0.8051574879992567,0.8052108561530763,0.8263661001737637
2016-10-12,9.501369863013698,115.213,115.213,0.0115213,0.019202166666666666,0.8332288974802567,0.8051684863492001,0.8052184367842311,0.8332288974802567
2016-10-13,9.498630136986302,122.755,122.755,0.0122755,0.020459166666666667,0.8233828014686907,0.8051794889714645,0.8052260239457437,0.8233828014686907
2016-10-19,9.482191780821918,114.553,114.553,0.0114553,0.019092166666666667,0.8344056651370003,0.8052455947471704,0.8052716844519019,0.8344056651370003
2016-10-21,9.476712328767123,124.908,124.908,0.0124908,0.020818,0.8209556444314322,0.8052676644465695,0.8052869571874521,0.8209556444314322
2016-10-26,9.463013698630137,114.663,114.663,0.0114663,0.019110500000000002,0.8345664393531742,0.805322914475925,0.8053252545612171,0.8345664393531742
2016-10-27,9.46027397260274,110.855,110.855,0.0110855,0.018475833333333334,0.8396363099841408,0.8053339775196048,0.8053329338996792,0.8396363099841408
2016-11-08,9.427397260273972,113.021,113.021,0.0113021,0.018836833333333334,0.8372920781854716,0.8054670757837372,0.8054256058148836,0.8372920781854716
2016-11-09,9.424657534246576,115.911,115.911,0.0115911,0.019318500000000002,0.8335427848330589,0.80547819596394,0.8054333720170578,0.8335427848330589
2016-11-10,9.421917808219177,113.115,113.115,0.011311499999999999,0.018852499999999998,0.8372549078301881,0.805489320580909,0.8054411449523083,0.8372549078301881
2016-11-14,9.41095890410959,111.26,111.26,0.011126,0.018543333333333335,0.8398679953008945,0.805533863536387,0.8054723041715136,0.8398679953008945
2016-11-17,9.402739726027397,111.842,111.842,0.0111842,0.018640333333333335,0.8392302278237307,0.805567317633413,0.8054957446449972,0.8392302278237307
2016-11-18,9.4,108.234,108.234,0.010823399999999999,0.018039,0.8440305401744712,0.8055784779608741,0.8055035717107488,0.8440305401744712
2016-11-30,9.367123287671232,109.0,109.0,0.0109,0.018166666666666668,0.8435219064884459,0.8057127539275689,0.8055980290103356,0.8435219064884459
2016-12-06,9.35068493150685,118.467,118.467,0.0118467,0.0197445,0.831416340108291,0.8057801377226338,0.8056456288878486,0.831416340108291
2016-12-08,9.345205479452055,122.048,122.048,0.0122048,0.020341333333333333,0.8268814532775912,0.8058026357330688,0.8056615509131339,0.8268814532775912
2016-12-09,9.342465753424657,109.511,109.511,0.0109511,0.018251833333333335,0.8432286468078755,0.8058138916559994,0.8056695223473673,0.8432286468078755
2017-01-04,9.271232876712329,167.704,167.704,0.0167704,0.02795066666666667,0.7717171827034052,0.8061081857254004,0.8058792443425209,0.7717171827034052
2017-01-05,9.26849315068493,163.705,163.705,0.0163705,0.02728416666666667,0.7765586470053656,0.806119568608047,0.8058874063456091,0.7765586470053656
2017-01-06,9.265753424657534,165.799,165.799,0.0165799,0.02763316666666667,0.7741093713853836,0.806130956282413,0.8058955755158909,0.7741093713853836
2017-01-12,9.24931506849315,166.033,166.033,0.016603299999999998,0.027672166666666664,0.7741817699032869,0.8061993833181518,0.805944741490694,0.7741817699032869
2017-01-24,9.216438356164383,170.521,170.521,0.017052099999999997,0.028420166666666663,0.7695628026488249,0.806336761234036,0.806043855202148,0.7695628026488249
2017-01-25,9.213698630136987,156.396,156.396,0.0156396,0.026066000000000002,0.7864986535058018,0.8063482411922247,0.8060521620574365,0.7864986535058018
2017-01-26,9.210958904109589,152.994,152.994,0.0152994,0.025499,0.7906734398916605,0.8063597260734113,0.8060604762393544,0.7906734398916605
2017-01-31,9.197260273972603,153.556,153.556,0.0153556,0.02559266666666667,0.7902685801402466,0.8064172245576987,0.806102157331243,0.7902685801402466
2017-02-06,9.180821917808219,162.688,162.688,0.0162688,0.02711466666666667,0.7796307054011791,0.8064863865953655,0.8061524181134773,0.7796307054011791
2017-02-08,9.175342465753424,154.436,154.436,0.0154436,0.025739333333333333,0.7896486350852777,0.8065094805640323,0.8061692310134876,0.7896486350852777
2017-02-15,9.156164383561643,147.787,147.787,0.0147787,0.02463116666666667,0.7980955028319179,0.8065904678488824,0.8062283109714355,0.7980955028319179
2017-03-08,9.098630136986301,155.123,155.123,0.0155123,0.025853833333333333,0.7903855084849195,0.806834928223976,0.8064077667411439,0.7903855084849195
2017-03-09,9.095890410958905,152.087,152.087,0.015208699999999999,0.025347833333333333,0.7940879035078484,0.8068466259986898,0.8064163960507185,0.7940879035078484
2017-03-21,9.063013698630137,146.074,146.074,0.014607400000000001,0.024345666666666668,0.8020012516128748,0.8069874083076485,0.806520549442753,0.8020012516128748
2017-03-22,9.06027397260274,146.35,146.35,0.014634999999999999,0.024391666666666666,0.8017205424506291,0.8069991744669993,0.8065292792912825,0.8017205424506291
